id,male,female,meaning_en,meaning_it,source
92,,Sivor,Always careful,Sempre accorta,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
93,,Vardrun,Rune (wisdom) that watches over,Runa (sapienza) che veglia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
94,Vornir,,He who is careful,Colui che sta attento,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
95,Mimir,,He who remembers,Colui che ricorda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
96,Hoddmimir,,Mimir of the gold,Mimir dell'oro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
97,Hringmimir,,Mimir of the ring,Mimir dell'anello,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
98,Sokmimir,,Mimir of the depth,Mimir delle profondità,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
99,Heiddraupnir,,The bright dripping,Il luminoso gocciolante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
100,Hoddropnir,,Destroyer of the gold,Distruttore dell'oro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
101,,Fenja,She who works hard,Colei che lavora duramente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
102,,Menja,Slave,Schiava,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
103,,Gnissa,She who grinds,Colei che macina,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
104,,Grisla,She who grinds,Colei che macina,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
105,,Gjalp,Wave/Noisy,Onda/Rumoreggiante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
106,Geirrodr,,-,-,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
107,,Greip,She who grasps,Colei che afferra,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
108,,Eistla,Stormy,Burrascosa,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
